SV-0001,Huỳnh Đức Hiệp,15/04/1990,0935100007,duchiep154@gmail.com,9.5
SV-0006,Lưu Đức Hoa,15/05/1994,0935100007,duchiep154@gmail.com,9.3
SV-0012,Chí Linh,23/01/1992,0905362212,2@gmail.com,2.6
SV-0011,Huynh Duc Long,15/02/1994,0963231145,duclong111@gmail.com,9.3
SV-0010,Nguyễn Thị Minh,15/09/1993,0905362212,thiminh@gmail.com,8.9
SV-0005,Châu Nhuận Phát,14/04/1996,0935100007,chaunhuanphat@gmail.com,9.5
SV-0002,Huỳnh Đức Phát,26/02/1998,0935100007,duchiep154@gmail.com,9.5
SV-0004,Châu Tinh TRì,26/08/1993,0935100007,duchiep154@gmail.com,9.5
SV-0007,Quách Phú Thành,23/06/1997,0935100007,duchiep154@gmail.com,9.5
SV-0009,Dương Chí Thành,13/04/1999,0935100007,duchiep154@gmail.com,9.5
SV-0003,Nguyễn Thị Bé Út,16/04/1992,0935100007,beut1604@gmail.com,9.5
